time,x,y,z
0.0000000000000000e+00,2.0000000000000000e+00,1.0000000000000000e+00,4.0000000000000000e+00
1.0000000000000000e-02,2.0200481495775793e+00,1.0099483192160794e+00,3.9897995143664171e+00
2.0000000000000000e-02,2.0401850598727478e+00,1.0197864416433493e+00,3.9791962330764163e+00
2.9999999999999999e-02,2.0603991157230386e+00,1.0295038654578776e+00,3.9681876963015714e+00
4.0000000000000001e-02,2.0806782929954961e+00,1.0390897633167955e+00,3.9567718328217691e+00
5.0000000000000003e-02,2.1010101610593566e+00,1.0485329917112394e+00,3.9449469847445866e+00
6.0000000000000005e-02,2.1213818867324203e+00,1.0578221018921576e+00,3.9327119324088224e+00
7.0000000000000007e-02,2.1417802397716854e+00,1.0669453524304056e+00,3.9200659193745020e+00
8.0000000000000002e-02,2.1621915999747898e+00,1.0758907234675124e+00,3.9070086773934789e+00
8.9999999999999997e-02,2.1826019659539564e+00,1.0846459327075537e+00,3.8935404512466447e+00
9.9999999999999992e-02,2.2029969656383814e+00,1.0931984531937351e+00,3.8796620233258592e+00
1.0999999999999999e-01,2.2233618685543863e+00,1.1015355329054999e+00,3.8653747378310888e+00
1.1999999999999998e-01,2.2436815999250870e+00,1.1096442162032900e+00,3.8506805244460129e+00
1.2999999999999998e-01,2.2639407566229037e+00,1.1175113671384316e+00,3.8355819213486573e+00
1.3999999999999999e-01,2.2841236249988439e+00,1.1251236946350627e+00,3.8200820974074654e+00
1.4999999999999999e-01,2.3042142006022490e+00,1.1324677795395688e+00,3.8041848734078685e+00
1.6000000000000000e-01,2.3241962097935893e+00,1.1395301035206797e+00,3.7878947421498559e+00
1.7000000000000001e-01,2.3440531332409864e+00,1.1462970797902676e+00,3.7712168872534737e+00
1.8000000000000002e-01,2.3637682312784807e+00,1.1527550856010520e+00,3.7541572005066888e+00
1.9000000000000003e-01,2.3833245710907258e+00,1.1588904964629236e+00,3.7367222975887415e+00
2.0000000000000004e-01,2.4027050556749021e+00,1.1646897220045709e+00,3.7189195320021105e+00
